Date/Time - Peak Brightness (UT),Latitude (Deg),Longitude (Deg),Altitude (km),Velocity (km/s),Velocity Components (km/s): vx,Velocity Components (km/s): vy,Velocity Components (km/s): vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
28.0,18.0,-2.0,14.0,-12.0,244000000000.0,1.0
32.0,21.0,1.0,-3.0,-1.0,42000000000.0,0.0
32.0,21.0,1.0,-3.0,-1.0,52000000000.0,0.0
32.0,21.0,1.0,-3.0,-1.0,143000000000.0,0.0
27.0,17.0,12.0,-4.0,1.0,105000000000.0,0.0
27.0,20.0,1.0,-3.0,-2.0,34000000000.0,0.0
32.0,21.0,1.0,-3.0,-1.0,229000000000.0,1.0
25.0,19.0,2.0,-3.0,-2.0,44000000000.0,0.0
27.0,20.0,1.0,2.0,-18.0,133000000000.0,0.0
37.0,22.0,-15.0,13.0,7.0,88000000000.0,0.0
33.0,19.0,-1.0,1.0,17.0,132000000000.0,0.0
