id,mass (g),reclat,reclong
5265.0,8.0,38.5,27.0
5291.0,7300.0,36.08333,-78.06667
5293.0,94.0,44.38333,-68.75
5295.0,15000.0,39.8,16.2
5296.0,1360.0,36.5,-79.25
5306.0,1025.0,26.46667,-105.23333
5307.0,45.6,43.2,-96.91667
5308.0,6460.0,45.08333,8.3
5313.0,3700.0,28.53333,109.31667
5314.0,0.5,25.36667,81.66667
5315.0,8200.0,25.85,83.48333
5316.0,18300.0,-30.78333,-58.05
5320.0,8800.0,20.26667,76.01667
5321.0,1100.0,27.28333,79.05
5322.0,1810.0,29.08333,111.75
5325.0,31500.0,46.68333,1.05
5328.0,4300.0,36.16667,-87.33333
5329.0,27000.0,47.93333,1.56667
5330.0,12000.0,29.48333,75.5
5331.0,4000.0,47.71667,5.36667
5332.0,30000.0,47.93333,2.91667
5334.0,2945.0,41.93333,-7.46667
5338.0,2936.0,-3.66667,32.5
57165.0,100000.0,54.81667,61.11667
47347.0,100000.0,23.69639,-5.01472
5339.0,6000.0,53.7,30.1
5340.0,8400.0,35.03333,-81.88333
5341.0,705.0,46.55,6.81667
5342.0,1700.0,50.83333,34.0
5344.0,72.0,14.5,76.5
5345.0,367.0,17.9,101.63333
5349.0,303.0,40.93333,-79.73333
5355.0,3920.0,-10.05944,33.395
5357.0,4000.0,47.47083,0.97667
5364.0,1600.0,-6.95,108.1
5374.0,1455.0,32.1025,-81.87278
5395.0,104000.0,44.9,-90.28333
5397.0,5200.0,-33.13333,19.38333
5401.0,469.0,43.76111,-84.50778
5403.0,5000.0,42.53333,12.61667
5418.0,20350.0,-19.85,-47.55
5451.0,1200.0,21.16667,-100.86667
5465.0,1460.0,10.2,76.26667
5470.0,78.4,35.95,-97.58333
5474.0,3650.0,-27.7,27.3
5476.0,167.0,35.63333,-78.13333
5477.0,4255.0,54.61667,-6.21667
5496.0,17000.0,36.83333,-84.35
5500.0,6000.0,38.4,-84.25
5504.0,18000.0,35.61667,8.83333
5511.0,5650.0,26.91667,83.96667
5513.0,1064.0,-28.2,24.56667
5514.0,2000.0,34.4,-87.06667
6603.0,100.0,49.86667,8.65
6604.0,7000.0,41.98444,59.685
51559.0,6580.0,-1.87089,-79.95756
6621.0,340.0,43.0,-80.0
6634.0,28.0,40.25,-74.0
6642.0,0.8,28.56667,77.25
6649.0,16400.0,51.46667,84.76667
6660.0,230.0,39.7825,-104.93056
6664.0,12500.0,26.68333,93.86667
6693.0,25400.0,25.73333,73.61667
6694.0,12000.0,19.0,81.0
6696.0,1140.0,24.225,76.525
6698.0,45000.0,22.37778,71.42722
6699.0,1800.0,14.88333,75.6
7640.0,32000.0,32.23333,76.46667
47350.0,3396.0,37.35172,27.32997
7642.0,1000.0,-33.75,18.56667
7649.0,400.0,-31.88333,-60.46667
7652.0,166000.0,-7.5,111.5
7656.0,3950.0,12.73333,15.05
7657.0,10000.0,36.95,9.55
7658.0,3840.0,23.5,90.33333
7659.0,1600.0,50.75,25.3
7661.0,438.0,40.0,29.0
7706.0,128800.0,45.5,119.03333
7707.0,230.0,21.86667,82.45
7708.0,5500.0,32.91667,120.78333
7718.0,3891.0,51.2,112.3
7722.0,1250.0,13.05,3.16667
7723.0,1161.0,32.33333,-6.3
7725.0,642.0,-13.66667,33.91667
7728.0,5000.0,36.4,-86.5
7731.0,47700.0,42.52,-82.26
7736.0,1900.0,42.45833,18.44167
7743.0,30.0,-31.66667,152.83333
7745.0,2270.0,52.55,-8.03333
7750.0,13200.0,30.3,76.63333
7752.0,577.0,-4.0,39.5
7754.0,2117.0,33.43333,127.26667
7755.0,3230.0,-27.2,31.31667
7757.0,300.0,26.25,82.0
7758.0,188.0,-3.0,151.0
7760.0,10000.0,40.78167,-96.47167
7774.0,2400.0,-17.3,15.83333
7775.0,3000.0,48.9,11.21667
7776.0,3336.0,56.03333,13.0
7777.0,840.0,28.26667,78.78333
